,x-coord,y-coord,r-radius,count
0,0.161183383905575,0.1222469736170511,0.1098965712305517,408.0
1,0.097525788509022,0.124123179613852,0.1006910337777261,468.0
2,0.0772742642464287,0.2321183772429828,0.1039338602322496,53.0
3,0.0798185819900168,0.2406900239990401,0.1044945446152457,48.0
4,0.0868237381285177,0.2385776712864493,0.1031442152022292,50.0
5,0.085327964316616,0.1458024358976248,0.1066621792918515,323.0
6,0.1658532981614824,0.113989771420123,0.1073705975646002,308.0
7,0.0795088635922667,0.2357634517547707,0.1057093384710131,53.0
8,0.0805751094352028,0.1444377393641388,0.1081184647367002,354.0
9,0.0856170917934164,0.1315609217084876,0.108543952065155,465.0
10,0.0969998739779128,0.1329873589138672,0.1039507210867405,412.0
11,0.105461921668862,0.1372273904233042,0.1074766060146068,440.0
12,0.0943509078353707,0.1320361937931256,0.1093497504399223,479.0
13,0.1492237118183726,0.1143293262148703,0.1014839573204351,340.0
14,0.170222840874476,0.2542322371812428,0.1060959451641282,253.0
15,0.1000593903737959,0.1385207775932173,0.1025978067611889,369.0
16,0.0628866084906465,0.2227247591613936,0.1043183627163086,53.0
17,0.1416252678179159,0.109936353413258,0.1083651044434768,449.0
18,0.078173391260842,0.1448125608539344,0.109251509788504,361.0
19,0.1898267146871341,0.2571834003157688,0.1027494311886264,269.0
20,0.1532408871641769,0.2312013156201164,0.1000799237949707,261.0
21,0.0881511905311688,0.1438230021606006,0.1090709128489722,374.0
22,0.0784323396125417,0.1457509974081141,0.1091855174880368,351.0
23,0.1476035285876989,0.118893695452935,0.1023000515864455,376.0
24,0.0901819290552046,0.1487081758034736,0.1053863977924698,296.0
25,0.0802180129441394,0.1383583230810127,0.1084329853125316,400.0
26,0.0877413381639427,0.1442878980138285,0.1034766500948445,311.0
27,0.1547205063495365,0.074241915784246,0.1082738568726697,285.0
28,0.0911047378103475,0.1614201721168548,0.100031783496877,198.0
29,0.1025389299502002,0.1212102543412241,0.1014439669062075,509.0
30,0.0988443615985859,0.125124003278577,0.1085925386910647,541.0
31,0.1090776529492053,0.146537442335576,0.1013052384172899,317.0
32,0.180127565472261,0.2516198629546922,0.1058487374994948,268.0
